"33082","yn_no_deadline","102","lineup","foil","./stims/h14.bmp","70","0","1","682","0","image-keyboard-response","0.0-29.0-0.1",NULL
"33082","yn_no_deadline","104","lineup","foil","./stims/h45.bmp","70","0","1","873","0","image-keyboard-response","0.0-29.0-0.2",NULL
"33082","yn_no_deadline","106","lineup","foil","./stims/h37.bmp","70","0","1","848","0","image-keyboard-response","0.0-29.0-0.3",NULL
"33082","yn_no_deadline","108","lineup","foil","./stims/h38.bmp","70","0","1","936","0","image-keyboard-response","0.0-29.0-0.4",NULL
"33082",NULL,"111","lineup",NULL,"./stims/h29.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-30.0-1.0",NULL
"33082","yn_no_deadline","113","lineup","target","./stims/h29.bmp","74","1","1","726","0","image-keyboard-response","0.0-32.0-0.0",NULL
"33082","yn_no_deadline","115","lineup","foil","./stims/h5.bmp","70","0","1","500","0","image-keyboard-response","0.0-32.0-0.1",NULL
"33082","yn_no_deadline","117","lineup","foil","./stims/h46.bmp","70","0","1","453","0","image-keyboard-response","0.0-32.0-0.2",NULL
"33082","yn_no_deadline","119","lineup","foil","./stims/h32.bmp","70","0","1","592","0","image-keyboard-response","0.0-32.0-0.3",NULL
"33082","yn_no_deadline","121","lineup","foil","./stims/h31.bmp","70","0","1","608","0","image-keyboard-response","0.0-32.0-0.4",NULL
"33082",NULL,"124","lineup",NULL,"./stims/h35.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-33.0-1.0",NULL
"33082","yn_no_deadline","126","lineup","foil","./stims/h21.bmp","70","0","1","718","0","image-keyboard-response","0.0-35.0-0.0",NULL
"33082","yn_no_deadline","128","lineup","foil","./stims/h33.bmp","70","0","1","585","0","image-keyboard-response","0.0-35.0-0.1",NULL
"33082","yn_no_deadline","130","lineup","foil","./stims/h17.bmp","70","0","1","700","0","image-keyboard-response","0.0-35.0-0.2",NULL
"33082","yn_no_deadline","132","lineup","foil","./stims/h14.bmp","70","0","1","813.99999999997","0","image-keyboard-response","0.0-35.0-0.3",NULL
"33082","yn_no_deadline","134","lineup","foil","./stims/h4.bmp","70","0","1","925.99999999997","0","image-keyboard-response","0.0-35.0-0.4",NULL
"33082",NULL,"137","lineup",NULL,"./stims/h22.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-36.0-1.0",NULL
"33082","yn_no_deadline","139","lineup","foil","./stims/h52.bmp","70","0","1","615","0","image-keyboard-response","0.0-38.0-0.0",NULL
"33082","yn_no_deadline","141","lineup","foil","./stims/h16.bmp","70","0","1","611.00000000003","0","image-keyboard-response","0.0-38.0-0.1",NULL
"33082","yn_no_deadline","143","lineup","foil","./stims/h8.bmp","70","0","1","848","0","image-keyboard-response","0.0-38.0-0.2",NULL
"33082","yn_no_deadline","145","lineup","foil","./stims/h14.bmp","70","0","1","686","0","image-keyboard-response","0.0-38.0-0.3",NULL
"33082","yn_no_deadline","147","lineup","foil","./stims/h24.bmp","70","0","1","834","0","image-keyboard-response","0.0-38.0-0.4",NULL
"33082",NULL,"150","lineup",NULL,"./stims/h30.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-39.0-1.0",NULL
"33082","yn_no_deadline","152","lineup","foil","./stims/h32.bmp","70","0","1","540","0","image-keyboard-response","0.0-41.0-0.0",NULL
"33082","yn_no_deadline","154","lineup","target","./stims/h30.bmp","74","1","1","1787","0","image-keyboard-response","0.0-41.0-0.1",NULL
